location,name,freq,weighting,n_factors,date,ret
chn,accruals,daily,vw_cap,5,1996-12-20,0.018637708996260167
chn,accruals,daily,vw_cap,5,1996-12-23,0.026610675194746303
chn,accruals,daily,vw_cap,5,1996-12-24,0.013732932547456672
chn,accruals,daily,vw_cap,5,1996-12-25,-0.00029265741919155044
chn,accruals,daily,vw_cap,5,1996-12-26,0.01119479322386269
chn,accruals,daily,vw_cap,5,1996-12-27,-0.02413466830233758
chn,accruals,daily,vw_cap,5,1996-12-30,-0.020587478071780203
chn,accruals,daily,vw_cap,5,1996-12-31,0.007767961343787896
chn,accruals,daily,vw_cap,1,1997-01-01,8.377178912878178e-6
chn,accruals,daily,vw_cap,5,1997-01-02,-0.006341168605090389
chn,accruals,daily,vw_cap,5,1997-01-03,-0.0037225571147150487
chn,accruals,daily,vw_cap,5,1997-01-06,0.014241618862256566
chn,accruals,daily,vw_cap,5,1997-01-07,-0.004934283412234866
chn,accruals,daily,vw_cap,5,1997-01-08,-0.0016484230143329719
chn,accruals,daily,vw_cap,5,1997-01-09,0.0010545489767389716
chn,accruals,daily,vw_cap,5,1997-01-10,0.0007460603627495628
chn,accruals,daily,vw_cap,5,1997-01-13,0.001610329034258489
chn,accruals,daily,vw_cap,5,1997-01-14,-0.02597672183543347
chn,accruals,daily,vw_cap,5,1997-01-15,0.001572689381619946
chn,accruals,daily,vw_cap,5,1997-01-16,-0.0001821031960230023
chn,accruals,daily,vw_cap,5,1997-01-17,0.0027437724593138086
chn,accruals,daily,vw_cap,5,1997-01-20,0.0035455778219662505
chn,accruals,daily,vw_cap,5,1997-01-21,0.004229843043733849
chn,accruals,daily,vw_cap,5,1997-01-22,0.0006328654157785957
chn,accruals,daily,vw_cap,5,1997-01-23,-0.000018918103855464912
chn,accruals,daily,vw_cap,5,1997-01-24,0.0008078326271776643
chn,accruals,daily,vw_cap,5,1997-01-27,-0.0016664083453698155
chn,accruals,daily,vw_cap,5,1997-01-28,-0.0017232268773889545
chn,accruals,daily,vw_cap,5,1997-01-29,0.00504526807644025
chn,accruals,daily,vw_cap,5,1997-01-30,-0.002231161254340032
chn,accruals,daily,vw_cap,5,1997-01-31,-0.0016541338242145515
chn,accruals,daily,vw_cap,5,1997-02-17,-0.011595788041649584
chn,accruals,daily,vw_cap,5,1997-02-18,-0.0025408890811446593
chn,accruals,daily,vw_cap,5,1997-02-19,-0.001710364104926068
chn,accruals,daily,vw_cap,5,1997-02-20,0.0016930186519422744
chn,accruals,daily,vw_cap,5,1997-02-21,0.003154489383254841
chn,accruals,daily,vw_cap,5,1997-02-24,-0.002757383194883057
chn,accruals,daily,vw_cap,5,1997-02-25,0.005017992968541891
chn,accruals,daily,vw_cap,5,1997-02-26,-0.000037889378858981665
chn,accruals,daily,vw_cap,5,1997-02-27,-0.005447850943982998
chn,accruals,daily,vw_cap,5,1997-02-28,0.0013105260921955878
chn,accruals,daily,vw_cap,5,1997-03-03,-0.004512183456124495
chn,accruals,daily,vw_cap,5,1997-03-04,0.0024214151668931886
chn,accruals,daily,vw_cap,5,1997-03-05,-0.002516275632789044
chn,accruals,daily,vw_cap,5,1997-03-06,-0.0019721935571338353
chn,accruals,daily,vw_cap,5,1997-03-07,-0.0004427146542687069
chn,accruals,daily,vw_cap,5,1997-03-10,-0.0036364390624175438
chn,accruals,daily,vw_cap,5,1997-03-11,0.0019764547163792757
chn,accruals,daily,vw_cap,5,1997-03-12,0.007756366847517793
chn,accruals,daily,vw_cap,5,1997-03-13,0.0018371145958207553
chn,accruals,daily,vw_cap,5,1997-03-14,0.00560985136092028
chn,accruals,daily,vw_cap,5,1997-03-17,0.011982079075256231
chn,accruals,daily,vw_cap,5,1997-03-18,-0.008946869742772855
chn,accruals,daily,vw_cap,5,1997-03-19,0.004329103403000853
chn,accruals,daily,vw_cap,5,1997-03-20,-0.0070045276220232575
chn,accruals,daily,vw_cap,5,1997-03-21,0.0011650936524869883
chn,accruals,daily,vw_cap,5,1997-03-24,-0.02732876687807368
chn,accruals,daily,vw_cap,5,1997-03-25,-0.0008113563863813396
chn,accruals,daily,vw_cap,5,1997-03-26,0.0006750826828387756
chn,accruals,daily,vw_cap,5,1997-03-27,-0.0032854891879472007
chn,accruals,daily,vw_cap,5,1997-03-28,-0.001132911283517941
chn,accruals,daily,vw_cap,5,1997-03-31,-0.00457514581268803
chn,accruals,daily,vw_cap,5,1997-04-01,0.00822171981874915
chn,accruals,daily,vw_cap,5,1997-04-02,0.0017923844370400402
chn,accruals,daily,vw_cap,5,1997-04-03,0.0040597794935520615
chn,accruals,daily,vw_cap,5,1997-04-04,0.011931729139513713
chn,accruals,daily,vw_cap,5,1997-04-07,-0.0002799098638037573
chn,accruals,daily,vw_cap,5,1997-04-08,0.0073789786279408135
chn,accruals,daily,vw_cap,5,1997-04-09,0.0015805921613266838
chn,accruals,daily,vw_cap,5,1997-04-10,-0.0005815897945228247
chn,accruals,daily,vw_cap,5,1997-04-11,0.005127949777316778
chn,accruals,daily,vw_cap,5,1997-04-14,-0.002428893614314257
chn,accruals,daily,vw_cap,5,1997-04-15,-0.0037350571899680664
chn,accruals,daily,vw_cap,5,1997-04-16,-0.006383457901264283
chn,accruals,daily,vw_cap,5,1997-04-17,-0.0005249726692677533
chn,accruals,daily,vw_cap,5,1997-04-18,0.004851578956130934
chn,accruals,daily,vw_cap,5,1997-04-21,-0.003380138344014767
chn,accruals,daily,vw_cap,5,1997-04-22,-0.0018442051306242894
chn,accruals,daily,vw_cap,5,1997-04-23,0.009356916650826884
chn,accruals,daily,vw_cap,5,1997-04-24,-0.015601508313380918
chn,accruals,daily,vw_cap,5,1997-04-25,-0.0036906785042845683
chn,accruals,daily,vw_cap,5,1997-04-28,0.009768427176909136
chn,accruals,daily,vw_cap,5,1997-04-29,0.0020543952517507714
chn,accruals,daily,vw_cap,5,1997-04-30,0.0048421099996086734
chn,accruals,daily,vw_cap,5,1997-05-05,0.0020703202851815234
chn,accruals,daily,vw_cap,5,1997-05-06,-0.015845577454849685
chn,accruals,daily,vw_cap,5,1997-05-07,-0.00636318351871607
chn,accruals,daily,vw_cap,5,1997-05-08,-0.0005249714334005131
chn,accruals,daily,vw_cap,5,1997-05-09,0.009365308561599485
chn,accruals,daily,vw_cap,5,1997-05-12,0.025846239656446106
chn,accruals,daily,vw_cap,5,1997-05-13,0.0014773750386413722
chn,accruals,daily,vw_cap,5,1997-05-14,-0.005936101263609196
